date,open,high,low,close,volume
2025-06-05,202.695858,203.940919,199.35909,199.837204,55126100
2025-06-06,202.197834,204.887162,201.251591,203.114197,46607700
2025-06-09,203.582331,205.185969,199.229604,200.653946,72862600
2025-06-10,199.807328,203.54251,199.777448,201.869141,54672600
2025-06-11,202.695857,203.691905,197.625974,197.994507,60989900
2025-06-12,198.293336,198.890956,196.580131,198.412857,43904600
2025-06-13,198.940759,199.57823,194.926685,195.673721,51447300
2025-06-16,196.520356,197.904863,195.783275,197.635925,43020700
2025-06-17,196.420746,197.606046,194.438619,194.866913,38856200
2025-06-18,195.165737,196.789301,194.29918,195.803207,45394700
2025-06-20,197.456661,200.90298,196.082109,200.20575,96813500
2025-06-23,200.833242,201.500592,198.173794,200.703751,55814300
2025-06-24,201.789459,202.636106,199.408903,199.508514,54064000
2025-06-25,200.653984,202.865213,199.827262,200.76355,39525700
2025-06-26,200.634043,201.839268,198.671842,200.20575,50799100
2025-06-27,201.092228,202.416974,199.209697,200.285431,73188600
2025-06-30,201.211736,206.570482,198.472603,204.359253,91912800
2025-07-01,205.85333,209.359425,205.325425,206.998795,78788900
2025-07-02,208.084475,212.496962,207.317514,211.600525,67941800
2025-07-03,211.311669,213.80179,210.973016,212.706146,34955800
2025-07-07,211.839569,215.375544,207.974912,209.120361,50229000
2025-07-08,209.269786,210.594517,207.626297,209.18013,42848900
2025-07-09,208.702041,210.494931,206.401171,210.305679,48749400
2025-07-10,209.678147,212.636412,209.200048,211.570648,44443600
2025-07-11,209.737912,211.291745,209.030711,210.325577,39765800
2025-07-14,209.100429,210.076568,206.719874,207.795609,38840100
2025-07-15,208.393257,211.052705,208.09444,208.283691,42296300
2025-07-16,209.469006,211.560698,207.815561,209.329559,47490500
2025-07-17,209.737939,210.963074,208.7618,209.190109,48068100
2025-07-18,210.036732,210.953095,208.871357,210.345505,48974600
2025-07-21,211.261893,214.927344,210.793749,211.640381,51377400
2025-07-22,212.297765,214.10061,211.391357,213.55278,46404100
2025-07-23,214.150419,214.29982,211.570657,213.303772,46989300
2025-07-24,213.05476,214.837695,212.686227,212.915314,46022600
2025-07-25,213.851588,214.389462,212.556722,213.034836,40268800
2025-07-28,213.184253,214.00102,212.218084,213.204178,37858000
2025-07-29,213.333639,213.961155,209.986931,210.43515,51411700
2025-07-30,211.062667,211.550736,206.899192,208.223938,45512500
2025-07-31,207.666149,209.010805,206.341403,206.749786,80698400
2025-08-01,210.036749,212.736048,200.703779,201.580307,104434500
2025-08-04,203.701868,207.058561,200.883049,202.546463,75109300
2025-08-05,202.596248,204.528584,201.361157,202.118149,44155100
2025-08-06,204.817449,214.528921,204.777599,212.407333,108483100
2025-08-07,218.015088,219.977305,215.724174,219.160538,90224800
2025-08-08,219.957374,230.087184,218.383615,228.44371,113854000
2025-08-11,227.277011,228.912384,224.125922,226.539093,61806100
2025-08-12,227.366763,230.148901,226.429428,229.002136,55626200
2025-08-13,230.418134,234.33704,229.779925,232.671753,69878500
2025-08-14,233.399694,234.456701,230.198758,232.123306,51916300
2025-08-15,233.339866,233.619074,228.693008,230.936661,56038700
2025-08-18,231.046345,232.462337,229.460834,230.238632,37476200
2025-08-19,230.627531,232.213042,228.702983,229.909561,39402600
2025-08-20,229.331192,229.819815,225.133078,225.372391,42263900
2025-08-21,225.631664,225.880958,223.148683,224.265518,30621200
2025-08-22,225.531951,228.443712,224.774101,227.117462,42477800
2025-08-25,225.841075,228.653127,225.591781,226.519165,30983100
2025-08-26,226.229967,228.842586,224.056124,228.663086,54575100
2025-08-27,227.965081,230.248615,227.616063,229.839783,31259500
2025-08-28,230.168834,232.751524,228.692998,231.903915,38074700
2025-08-29,231.854059,232.721615,230.717275,231.485107,39418400
2025-09-02,228.603255,230.198747,226.329688,229.07193,44075600
2025-09-03,236.540817,238.176189,233.698851,237.797256,66427800
2025-09-04,237.777281,239.223187,236.072114,239.103531,47549400
2025-09-05,239.322932,240.639216,237.817198,239.013809,54870400
2025-09-08,238.624916,239.472509,235.673259,237.208923,48999500
2025-09-09,236.331407,238.106384,232.701676,233.688889,66313900
2025-09-10,231.534967,231.764314,225.312566,226.150192,83440800
2025-09-11,226.239965,229.799886,226.010603,229.381073,50208600
2025-09-12,228.573359,233.848429,228.373927,233.409683,55824200
2025-09-15,236.331399,237.518044,234.366955,236.032242,42699500
2025-09-16,236.510885,240.539496,235.653325,237.478149,63421100
2025-09-17,238.295848,239.422665,237.059341,238.315796,46508000
2025-09-18,239.293024,240.519549,235.982382,237.208923,44249600
2025-09-19,240.549461,245.605165,239.532349,244.807419,163741300
2025-09-22,247.599524,255.916007,247.420024,255.357559,105517400
2025-09-23,255.158156,256.614029,252.864642,253.712234,60275200
2025-09-24,254.5,255.018537,250.331784,251.598206,42303700
2025-09-25,252.495662,256.444497,250.999893,256.145325,55202100
2025-09-26,253.38317,256.873296,253.064066,254.739334,46076300
2025-09-29,253.841873,254.280634,252.296242,253.712234,40127700
2025-09-30,254.141014,255.198021,252.395951,253.911667,37704300
2025-10-01,254.320493,258.059929,254.210802,254.72934,48713900
2025-10-02,255.856135,257.451628,253.432998,256.404602,42630200
2025-10-03,253.951544,258.508643,253.233574,257.292084,49155600
2025-10-06,257.262187,258.339157,254.330493,255.965866,44664100
2025-10-07,256.08551,256.673842,254.709398,255.756454,31955800
2025-10-08,255.796306,257.790664,255.387459,257.33197,36496900
2025-10-09,257.082672,257.272138,252.425848,253.323303,38322000
2025-10-10,254.220782,255.656722,243.311643,244.578064,61999100
2025-10-13,248.676483,248.985606,244.867252,246.961334,38142900
2025-10-14,245.904317,248.147969,244.009668,247.071014,35478000
2025-10-15,248.786167,251.109596,246.771862,248.636581,33893600
2025-10-16,247.549653,248.337418,244.43846,246.751907,39777000
2025-10-17,247.320304,252.665184,246.57242,251.578247,49147000
2025-10-20,255.168106,263.634161,254.908845,261.500183,90483000
2025-10-21,261.141213,264.541597,261.091336,262.028687,46695900
2025-10-22,261.90905,262.108498,254.709417,257.720917,45015300
2025-10-23,259.206687,259.884761,257.282139,258.847687,32754900
2025-10-24,260.453146,263.384854,258.448807,262.078552,38253700
2025-10-27,264.13273,268.360759,263.903368,268.051636,44888200
2025-10-28,268.231107,269.128593,267.393481,268.241089,41534800
2025-10-29,268.520319,270.644315,266.356428,268.939148,51086700
2025-10-30,271.22267,273.366629,267.722593,270.634338,69886500
2025-10-31,276.208558,276.537644,268.400661,269.607239,86167100
2025-11-03,269.657146,270.085925,265.498896,268.290985,50194600
2025-11-04,267.573,270.724089,266.865012,269.278198,49274800
2025-11-05,267.852186,270.933496,266.176933,269.377899,43683100
2025-11-06,267.134271,272.628706,267.134271,269.008942,51204000
2025-11-07,269.03885,271.521847,266.0174,267.712616,48227400
2025-11-10,268.461199,273.222372,266.963981,268.930328,41312400
2025-11-11,269.309649,275.398343,269.299658,274.739563,46208300
2025-11-12,274.490052,275.21871,271.196184,272.962891,48398000
2025-11-13,273.601639,276.186863,271.585396,272.443817,49602800
2025-11-14,270.547352,275.448251,269.100059,271.904846,47431300
2025-11-17,268.321483,269.988369,265.237217,266.963989,45018300
2025-11-18,269.48929,270.207956,264.827967,266.944031,45677300
2025-11-19,265.037601,271.705207,265.007658,268.061981,40424500
2025-11-20,270.327749,274.919225,265.426881,265.756256,45823600
2025-11-21,265.456807,272.823095,265.177328,270.986511,59030800
2025-11-24,270.397645,276.48634,270.397645,275.408356,65585800
2025-11-25,274.7595,279.86004,274.739548,276.45636,46914200
2025-11-26,276.446407,279.011648,276.117032,277.035309,33431400
2025-11-28,276.745838,278.482601,275.478174,278.332886,20135600
2025-12-01,277.494455,282.894426,275.627928,282.575012,46587700
2025-12-02,282.475185,286.867019,282.105876,285.659271,53669500
2025-12-03,285.669263,288.084759,282.774617,283.623047,43538700
2025-12-04,283.573132,284.201968,278.073341,280.179443,43989100
2025-12-05,280.019746,280.61864,277.534343,278.263,47265800
2025-12-08,277.614209,279.151362,275.63787,277.374664,38211800
2025-12-09,277.644179,279.510706,276.406488,276.665985,32193300
2025-12-10,277.234912,279.231203,275.927344,278.263,33038300
2025-12-11,278.582427,279.071509,273.302229,277.514404,33248000
2025-12-12,277.384616,278.702175,276.306632,277.763916,39532900
2025-12-15,279.630462,279.630462,272.33402,273.601654,50409100
2025-12-16,272.31408,274.989103,271.285991,274.100739,37648600
2025-12-17,274.500011,275.647872,271.136266,271.335876,50138700
2025-12-18,273.102591,273.122574,266.454969,271.685242,51630700
2025-12-19,271.645305,274.090774,269.399478,273.162506,144632000
2025-12-22,272.353978,273.372106,270.00836,270.467499,36571800
2025-12-23,270.337749,271.994674,269.060124,271.854919,29642000
2025-12-24,271.83494,274.919206,271.695216,273.302216,17910600
2025-12-26,273.651606,274.859353,272.353998,272.893005,21521800
2025-12-29,272.184327,273.851213,271.844961,273.25235,23715200
2025-12-30,272.304059,273.571693,271.775043,272.573547,22139600
2025-12-31,272.553622,273.172467,271.246054,271.355835,27293600
2026-01-02,271.755128,277.324767,268.501164,270.507446,37838100
2026-01-05,270.138141,271.006523,265.646486,266.764404,45647200
2026-01-06,266.504884,267.053852,261.633929,261.873474,52352100
2026-01-07,262.711932,263.191023,259.328204,259.847229,48309800
2026-01-08,256.543358,258.809168,255.225814,258.559631,50419300
2026-01-09,258.599537,259.727446,255.744855,258.889008,39997000
2026-01-12,258.67939,260.815405,256.32375,259.767365,45263800
2026-01-13,258.240222,261.324488,257.910847,260.565887,45730800
